"fincode","year_end","current_net_profit","prev_net_profit","net_sales_ttm","net_sales_2yr","opm_2yr","opm_2yr_cr","prev_op","current_op","interest_earned_growth_percentage_cons_2year","net_profit_growth_percentage_cons_2year","operating_profit_growth_percentage_cons_2year","profit_after_tax_growth_percentage_cons_2year","profit_before_tax_growth_percentage_cons_2year","eps_growth_percentage_cons_2year","net_sales_growth_percentage_cons_2year","operating_profit_margin_growth_percentage_cons_2year","net_margin_growth_percentage_cons_2year"
210258,202203,"1185.52","759.20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"24.96153254255733",NULL,"24.96153254255733","41.077068148017794","24.614853155650795",NULL,NULL,NULL
114087,202203,"-6.453","21.94","191.571","255.38","12.608139778483048","-1.1245178027989622","32.19809999999998","-8.616999999999999",NULL,NULL,NULL,NULL,NULL,NULL,"-13.389321304875612",NULL,NULL
205434,200303,NULL,"8.70",NULL,"82.86","48.11936155447606",NULL,"39.8705",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126556,201503,NULL,"16.79",NULL,"90.97","19.250326664334295",NULL,"17.512373100000005",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109499,200403,NULL,"2.16",NULL,"14.71","14.235722077152271",NULL,"2.0947549999999993",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100278,201803,"-10.668000000000001","0.35","0",NULL,NULL,NULL,NULL,"-14.318999999999999",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122215,202203,"61.766999999999996","60.67","1027.587","644.13","17.489966336071703","3.2497248408163983","112.65840000000003","133.57500000000002",NULL,"0.9000210157350308","8.888195803587195","0.9000210157350308","-6.977118491470846","-59.923016673460396","26.305579962241033","-56.89488497911363","-59.96730916064903"
131547,201303,NULL,"1.29",NULL,"28.32","6.540596567401373",NULL,"1.852423599999998",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
306633,202203,"-4.268","5.54","113.549","200.39","5.038416761354998","0.4487049643766127","10.096700000000027","2.038",NULL,NULL,"-55.07248854026394",NULL,NULL,NULL,"-24.72450253244437","-70.15762432702438",NULL
319227,202203,NULL,"56.18",NULL,"238.21","36.76031031703385",NULL,"87.566",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
